MPXV-UK_P2-001	J1L	001-chemokine-binding-protein	Chemokine binding protein (Cop-C23L); J1L; similar to Vaccinia virus strain Copenhagen C23L; most abundant secreted protein; CC-chemokine binding 
	YP_232933-involved-in-plaque-and-EEV-formation-[Vaccinia-virus]	97.01(%id)	100.0(%cover)
	YP_010085504-IEV-maturation-protein-[Akhmeta-virus]	95.45(%id)	100.0(%cover)
	YP_717359-EEV-maturation-protein-[Taterapox-virus]	95.60(%id)	100.0(%cover)
	NP_570437-EEV-maturation-protein-[Camelpox-virus]	95.28(%id)	100.0(%cover)
	NP_042080-EEV-maturation-protein-[Variola-virus]	94.65(%id)	100.0(%cover)
MPXV-UK_P2-041	C19L	041-palmytilated-EEV-membrane-glycoprotein	Palmitylated EEV membrane glycoprotein (Cop-F13 L); C19L; similar to Vaccinia virus strain Copenhagen F13L; major envelope antigen of EEV; wrapping of IMV to form IEV; phospholipase D-like 
	YP_232934-palmytilated-EEV-membrane-protein-[Vaccinia-virus]	99.46(%id)	100.0(%cover)
	NP_536472-palmytilated-EEV-membrane-glycoprotein-[Monkeypox-virus-Zaire-96-I-16]	99.46(%id)	100.0(%cover)
	NP_671554-palmytilated-EEV-membrane-glycoprotein-[Ectromelia-virus]	99.19(%id)	100.0(%cover)
	YP_010085720-putative-F13L-protein-[Orthopoxvirus-Abatino]	98.92(%id)	100.0(%cover)
	NP_619848-CPXV061-protein-[Cowpox-virus]	98.39(%id)	100.0(%cover)
	YP_010085505-EEV-phospholipase-[Akhmeta-virus]	97.58(%id)	100.0(%cover)
	YP_717360-palmytilated-EEV-membrane-glycoprotein-[Taterapox-virus]	97.58(%id)	100.0(%cover)
	NP_042081-palmytilated-EEV-membrane-glycoprotein-[Variola-virus]	97.58(%id)	100.0(%cover)
	NP_570438-palmytilated-EEV-membrane-glycoprotein-[Camelpox-virus]	96.77(%id)	100.0(%cover)
	YP_009282743-major-iev-antigen-[Skunkpox-virus]	90.30(%id)	99.7(%cover)
	YP_009143359-Palmytilated-EEV-membrane-protein-[Raccoonpox-virus]	90.84(%id)	99.7(%cover)
	YP_009281797-major-iev-antigen-[Volepox-virus]	90.03(%id)	99.7(%cover)
MPXV-UK_P2-042	C20L	042-hypothetical-protein-MPXVgp046	Unknown (Cop-F14L); C20L; similar to Vaccinia virus strain Copenhagen F14L 
	NP_536473-hypothetical-protein-MPXVgp046-[Monkeypox-virus-Zaire-96-I-16]	100.00(%id)	100.0(%cover)
	YP_232935-hypothetical-protein-VACWR053-[Vaccinia-virus]	98.63(%id)	100.0(%cover)
MPXV-UK_P2-043	C20.5L	043	IMV protein (Cop-F14.5L);C20.5L 
MPXV-UK_P2-044	C21L	044-hypothetical-protein-MPXVgp047	Unknown conserved protein (Cop-F15L); C21L; similar to Vaccinia virus strain Copenhagen F15L 
	NP_536474-hypothetical-protein-MPXVgp047-[Monkeypox-virus-Zaire-96-I-16]	100.00(%id)	100.0(%cover)
	NP_570440-hypothetical-protein-CamMLVgp050-[Camelpox-virus]	98.73(%id)	100.0(%cover)
	YP_717362-hypothetical-protein-TATV_DAH68_055-[Taterapox-virus]	98.73(%id)	100.0(%cover)
	YP_010085723-putative-F15L-protein-[Orthopoxvirus-Abatino]	98.73(%id)	100.0(%cover)
	NP_671556-hypothetical-protein-ECTVgp038-[Ectromelia-virus]	98.73(%id)	100.0(%cover)
	NP_619851-CPXV064-protein-[Cowpox-virus]	95.57(%id)	100.0(%cover)
	NP_042083-hypothetical-protein-VARVgp039-[Variola-virus]	97.40(%id)	97.5(%cover)
	YP_232936-hypothetical-protein-VACWR054-[Vaccinia-virus]	98.64(%id)	93.0(%cover)
	YP_010085508-hypothetical-protein-KM542_gp060-[Akhmeta-virus]	98.64(%id)	93.0(%cover)
MPXV-UK_P2-045	C22L	045-hypothetical-protein-MPXVgp048	Non-functional Serine Recombinase (Cop-F16L); C22L; similar to Vaccinia virus strain Copenhagen F16L 
	NP_536475-hypothetical-protein-MPXVgp048-[Monkeypox-virus-Zaire-96-I-16]	100.00(%id)	100.0(%cover)
	YP_010085724-putative-F16L-protein-[Orthopoxvirus-Abatino]	96.54(%id)	100.0(%cover)
	YP_232937-hypothetical-protein-VACWR055-[Vaccinia-virus]	96.10(%id)	100.0(%cover)
	YP_717363-hypothetical-protein-TATV_DAH68_056-[Taterapox-virus]	96.10(%id)	100.0(%cover)
	NP_570441-hypothetical-protein-CamMLVgp051-[Camelpox-virus]	96.09(%id)	99.6(%cover)
	NP_042084-hypothetical-protein-VARVgp040-[Variola-virus]	95.24(%id)	100.0(%cover)
	NP_671557-hypothetical-protein-ECTVgp039-[Ectromelia-virus]	94.81(%id)	100.0(%cover)
	NP_619852-CPXV065-[Cowpox-virus]	93.51(%id)	100.0(%cover)
	YP_010085509-hypothetical-protein-KM542_gp061-[Akhmeta-virus]	93.94(%id)	100.0(%cover)
MPXV-UK_P2-046	C23R	046-DNA-binding-virion-core-protein	DNA-binding phosphoprotein (VP11) mTOR antagonist (Cop-F17R); C23R; similar to Vaccinia virus strain Copenhagen F17R; virion core DNA-binding phosphoprotein 
	NP_536476-DNA-binding-virion-core-protein-[Monkeypox-virus-Zaire-96-I-16]	100.00(%id)	100.0(%cover)
	YP_232938-putative-DNA-binding-phosphoprotein-[Vaccinia-virus]	97.03(%id)	100.0(%cover)
	NP_570442-DNA-binding-virion-core-protein-[Camelpox-virus]	96.04(%id)	100.0(%cover)
	NP_671558-DNA-binding-virion-core-protein-[Ectromelia-virus]	95.05(%id)	100.0(%cover)
	YP_717364-DNA-binding-virion-core-protein-[Taterapox-virus]	96.04(%id)	100.0(%cover)
	YP_010085510-DNA-binding-virion-core-protein-[Akhmeta-virus]	96.04(%id)	100.0(%cover)
	NP_619853-CPXV066-protein-[Cowpox-virus]	96.04(%id)	100.0(%cover)
	YP_010085725-putative-F17R-protein-[Orthopoxvirus-Abatino]	95.05(%id)	100.0(%cover)
	YP_009281802-DNA-binding-phosphoprotein-[Volepox-virus]	94.06(%id)	100.0(%cover)
	YP_009282748-DNA-binding-phosphoprotein-[Skunkpox-virus]	92.08(%id)	100.0(%cover)
	NP_042085-DNA-binding-virion-core-protein-[Variola-virus]	94.06(%id)	100.0(%cover)
	YP_009143363-VP11-putative-DNA-binding-phosphoprotein-[Raccoonpox-virus]	91.09(%id)	100.0(%cover)
MPXV-UK_P2-047	F1L	047-polyA-polymerase-large-subunit	Poly (A) polymerase catalytic subunit (VP55) (Cop-E1L); F1L; similar to Vaccinia virus strain Copenhagen E1L; poly-A polymerase, catalytic subunit 
	NP_536477-poly(A)-polymerase-large-subunit-[Monkeypox-virus-Zaire-96-I-16]	99.79(%id)	100.0(%cover)
	NP_619854-CPXV067-protein-[Cowpox-virus]	99.16(%id)	100.0(%cover)
	YP_232939-poly-A-polymerase-catalytic-subunit-VP55-[Vaccinia-virus]	98.96(%id)	100.0(%cover)
	YP_010085726-putative-E1L-protein-[Orthopoxvirus-Abatino]	98.75(%id)	100.0(%cover)
	NP_671559-poly(A)-polymerase-large-subunit-[Ectromelia-virus]	98.54(%id)	100.0(%cover)
	YP_717365-poly(A)-polymerase-large-subunit-[Taterapox-virus]	98.33(%id)	100.0(%cover)
	NP_570443-poly(A)-polymerase-large-subunit-[Camelpox-virus]	97.91(%id)	100.0(%cover)
	YP_010085511-poly(A)-polymerase-large-subunit-[Akhmeta-virus]	98.12(%id)	100.0(%cover)
	NP_042086-poly(A)-polymerase-large-subunit-[Variola-virus]	97.49(%id)	100.0(%cover)
	YP_009143364-Poly-A-polymerase-catalytic-subunit-VP55-protein-[Raccoonpox-virus]	94.07(%id)	98.5(%cover)
	YP_009282749-poly-polymerase-catalytic-subunit-[Skunkpox-virus]	94.49(%id)	98.5(%cover)
	YP_009281803-poly-polymerase-catalytic-subunit-[Volepox-virus]	94.28(%id)	98.5(%cover)
MPXV-UK_P2-048	F2L	048-iev-morphogenesis-protein	IEV morphogenesis (Cop-E2L); F2L; similar to Vaccinia virus strain Copenhagen E2L 
	NP_536478-hypothetical-protein-MPXVgp051-[Monkeypox-virus-Zaire-96-I-16]	99.86(%id)	100.0(%cover)
	YP_232940-hypothetical-protein-VACWR058-[Vaccinia-virus]	97.96(%id)	100.0(%cover)
	NP_619855-CPXV068-protein-[Cowpox-virus]	97.83(%id)	100.0(%cover)
	YP_717366-hypothetical-protein-TATV_DAH68_059-[Taterapox-virus]	97.69(%id)	100.0(%cover)
	NP_570444-hypothetical-protein-CamMLVgp054-[Camelpox-virus]	97.56(%id)	100.0(%cover)
	NP_042087-hypothetical-protein-VARVgp043-[Variola-virus]	97.56(%id)	100.0(%cover)
	YP_010085727-putative-E2L-protein-[Orthopoxvirus-Abatino]	97.01(%id)	100.0(%cover)
	NP_671560-hypothetical-protein-ECTVgp042-[Ectromelia-virus]	96.61(%id)	100.0(%cover)
	YP_010085512-hypothetical-protein-KM542_gp064-[Akhmeta-virus]	96.47(%id)	100.0(%cover)
	YP_009282750-iev-morphogenesis-protein-[Skunkpox-virus]	91.45(%id)	100.0(%cover)
	YP_009281804-iev-morphogenesis-protein-[Volepox-virus]	90.77(%id)	100.0(%cover)
	YP_009143365-IEV-morphogenesis-[Raccoonpox-virus]	90.37(%id)	100.0(%cover)
MPXV-UK_P2-049	F3L	049-double-strand-RNA-binding-protein	dsRNA-binding protein, IFN resistance/PKR inhibitor (Z-DNA binding) (Cop-E3L); F3L; similar to Vaccinia virus strain Copenhagen E3L; interferon resistance factor; two forms (25 kDa and 19 kDa) of the dsRNA-binding protein; inhibition of dsRNA-dependent protein kinase and 2-5A-synthet 
	NP_536479-double-strand-RNA-binding-protein-[Monkeypox-virus-Zaire-96-I-16]	98.04(%id)	100.0(%cover)
MPXV-UK_P2-050	F4L	050-RNA-polymerase-subunit	RNA polymerase subunit (RPO30) (Cop-E4L); F4L; similar to Vaccinia virus strain Copenhagen E4L; RNA polymerase 30 kDa subunit; simultaneously intermediate stage promoter-specific transcription factor, VITF-1 
	NP_536480-RNA-polymerase-subunit-[Monkeypox-virus-Zaire-96-I-16]	99.23(%id)	100.0(%cover)
	YP_232942-DNA-dependent-RNA-polymerase-subunit-rpo30-[Vaccinia-virus]	97.68(%id)	100.0(%cover)
	NP_671562-RNA-polymerase-subunit-[Ectromelia-virus]	97.68(%id)	100.0(%cover)
	YP_717368-RNA-polymerase-subunit-[Taterapox-virus]	97.30(%id)	100.0(%cover)
	NP_570446-RNA-polymerase-subunit-[Camelpox-virus]	96.91(%id)	100.0(%cover)
	YP_010085514-RNA-polymerase-subunit-[Akhmeta-virus]	96.91(%id)	100.0(%cover)
	YP_010085729-putative-E4L-protein-[Orthopoxvirus-Abatino]	96.91(%id)	100.0(%cover)
	NP_042089-RNA-polymerase-subunit-[Variola-virus]	95.75(%id)	100.0(%cover)
	NP_619857-CPXV070-protein-[Cowpox-virus]	95.40(%id)	100.0(%cover)
MPXV-UK_P2-051	unknown	051	unknown;unknown 
MPXV-UK_P2-052	F5R	052-Virion-protein	Virion protein (Cop-E6R); F5R; similar to Vaccinia virus strain Copenhagen E6R 
	NP_536481-Hypothetical-protein-MPXVgp054-[Monkeypox-virus-Zaire-96-I-16]	99.65(%id)	100.0(%cover)
	YP_232944-hypothetical-protein-VACWR062-[Vaccinia-virus]	98.94(%id)	100.0(%cover)
	NP_619859-CPXV072-protein-[Cowpox-virus]	98.24(%id)	100.0(%cover)
	YP_010085731-putative-E6R-protein-[Orthopoxvirus-Abatino]	97.71(%id)	100.0(%cover)
	NP_570448-Hypothetical-protein-CamMLVgp058-[Camelpox-virus]	97.35(%id)	100.0(%cover)
	NP_671564-Hypothetical-protein-ECTVgp046-[Ectromelia-virus]	97.35(%id)	100.0(%cover)
	YP_717370-Hypothetical-protein-TATV_DAH68_063-[Taterapox-virus]	97.35(%id)	100.0(%cover)
	NP_042091-hypothetical-protein-VARVgp047-[Variola-virus]	97.18(%id)	100.0(%cover)
	YP_010085516-hypothetical-protein-KM542_gp068-[Akhmeta-virus]	94.53(%id)	100.0(%cover)
	YP_009143369-Virion-protein-[Raccoonpox-virus]	91.18(%id)	100.0(%cover)
	YP_009282754-virion-protein-[Skunkpox-virus]	91.01(%id)	100.0(%cover)
	YP_009281808-virion-protein-[Volepox-virus]	90.48(%id)	100.0(%cover)
MPXV-UK_P2-053	F6R	053-putative-myristoylated-protein	Myristylated protein (Cop-E7R); F6R; similar to Vaccinia virus strain Copenhagen E7R; soluble myristylated protein 
	NP_536482-putative-myristoylated-protein-[Monkeypox-virus-Zaire-96-I-16]	100.00(%id)	100.0(%cover)
	YP_232945-soluble,-myristylprotein-[Vaccinia-virus]	93.98(%id)	100.0(%cover)
	NP_619860-CPXV073-protein-[Cowpox-virus]	92.77(%id)	100.0(%cover)
	YP_717371-putative-myristoylated-protein-[Taterapox-virus]	90.36(%id)	100.0(%cover)
	YP_010085732-putative-E7R-protein-[Orthopoxvirus-Abatino]	90.36(%id)	100.0(%cover)
MPXV-UK_P2-054	F7R	054-ER-localized-membrane-protein	ER-localized membrane protein, virion core protein (Cop-E8R); F7R; similar to Vaccinia virus strain Copenhagen E8R 
	NP_536483-hypothetical-protein-MPXVgp056-[Monkeypox-virus-Zaire-96-I-16]	99.63(%id)	100.0(%cover)
	YP_232946-membrane-protein-[Vaccinia-virus]	98.90(%id)	100.0(%cover)
	NP_619861-CPXV074-protein-[Cowpox-virus]	97.80(%id)	100.0(%cover)
	NP_042093-hypothetical-protein-VARVgp049-[Variola-virus]	97.44(%id)	100.0(%cover)
	YP_010085518-hypothetical-protein-KM542_gp070-[Akhmeta-virus]	97.80(%id)	100.0(%cover)
	NP_671566-hypothetical-protein-ECTVgp048-[Ectromelia-virus]	97.44(%id)	100.0(%cover)
	YP_010085733-putative-E8R-protein-[Orthopoxvirus-Abatino]	97.07(%id)	100.0(%cover)
	NP_570450-hypothetical-protein-CamMLVgp060-[Camelpox-virus]	97.07(%id)	100.0(%cover)
	YP_717372-hypothetical-protein-TATV_DAH68_065-[Taterapox-virus]	97.44(%id)	100.0(%cover)
	YP_009143371-ER-localized-membrane-protein-[Raccoonpox-virus]	93.73(%id)	99.3(%cover)
	YP_009282756-ER-localized-membrane-protein-[Skunkpox-virus]	93.36(%id)	99.3(%cover)
	YP_009281810-ER-localized-membrane-protein-[Volepox-virus]	92.62(%id)	99.3(%cover)
MPXV-UK_P2-055	F8L	055-DNA-polymerase	DNA polymerase (Cop-E9L); F8L; similar to Vaccinia virus strain Copenhagen E9L; DNA polymerase, catalytic subunit 
	NP_536484-DNA-polymerase-[Monkeypox-virus-Zaire-96-I-16]	99.50(%id)	100.0(%cover)
	YP_232947-DNA-polymerase-[Vaccinia-virus]	98.41(%id)	100.0(%cover)
	YP_717373-DNA-polymerase-[Taterapox-virus]	97.91(%id)	100.0(%cover)
	YP_010085734-putative-E9L-protein-[Orthopoxvirus-Abatino]	97.61(%id)	100.0(%cover)
	NP_570451-DNA-polymerase-[Camelpox-virus]	97.51(%id)	100.0(%cover)
	NP_619862-CPXV075-protein-[Cowpox-virus]	97.71(%id)	100.0(%cover)
	NP_042094-DNA-polymerase-[Variola-virus]	97.42(%id)	100.0(%cover)
	NP_671567-DNA-polymerase-[Ectromelia-virus]	97.12(%id)	100.0(%cover)
	YP_010085519-DNA-polymerase-[Akhmeta-virus]	96.44(%id)	100.0(%cover)
	YP_009143372-DNA-polymerase-[Raccoonpox-virus]	93.53(%id)	99.9(%cover)
	YP_009282757-DNA-polymerase-[Skunkpox-virus]	93.63(%id)	99.9(%cover)
	YP_009281811-DNA-polymerase-[Volepox-virus]	93.23(%id)	99.9(%cover)
MPXV-UK_P2-056	F9R	056-sulfhydryl-oxidase	Sulfhydryl oxidase (FAD-linked) (Cop-E10R); F9R; similar to Vaccinia virus strain Copenhagen E10R; protein disulfide bond-forming enzyme 
	NP_536485-sulfhydryl-oxidase-[Monkeypox-virus-Zaire-96-I-16]	97.89(%id)	100.0(%cover)
	YP_717374-sulfhydryl-oxidase-[Taterapox-virus]	96.84(%id)	100.0(%cover)
	NP_619863-CPXV076-protein-[Cowpox-virus]	97.89(%id)	100.0(%cover)
	YP_232948-sulfhydryl-oxidase-[Vaccinia-virus]	96.84(%id)	100.0(%cover)
	NP_671568-sulfhydryl-oxidase-[Ectromelia-virus]	96.84(%id)	100.0(%cover)
	YP_010085735-putative-E10R-protein-[Orthopoxvirus-Abatino]	95.79(%id)	100.0(%cover)
	NP_042095-sulfhydryl-oxidase-[Variola-virus]	95.79(%id)	100.0(%cover)
	NP_570452-sulfhydryl-oxidase-[Camelpox-virus]	94.74(%id)	100.0(%cover)
	YP_009282758-sulfhydryl-oxidase-[Skunkpox-virus]	93.68(%id)	100.0(%cover)
	YP_009143373-Sulfhydryl-oxidase-(FAD-linked)-[Raccoonpox-virus]	92.63(%id)	100.0(%cover)
	YP_010085520-sulfhydryl-oxidase-[Akhmeta-virus]	92.63(%id)	100.0(%cover)
MPXV-UK_P2-057	F10L	057-putative-virion-core-protein	Virion core protein (Cop-E11L); F10L; similar to Vaccinia virus strain Copenhagen E11L; virion core protein 
	NP_536486-putative-virion-core-protein-[Monkeypox-virus-Zaire-96-I-16]	100.00(%id)	100.0(%cover)
	NP_619864-CPXV077-protein-[Cowpox-virus]	99.22(%id)	100.0(%cover)
	YP_232949-virion-core-protein-[Vaccinia-virus]	97.67(%id)	100.0(%cover)
	YP_010085736-putative-E11L-protein-[Orthopoxvirus-Abatino]	96.90(%id)	100.0(%cover)
	NP_570453-putative-virion-core-protein-[Camelpox-virus]	96.12(%id)	100.0(%cover)
	NP_042096-putative-virion-core-protein-[Variola-virus]	96.12(%id)	100.0(%cover)
	YP_717375-putative-virion-core-protein-[Taterapox-virus]	94.57(%id)	100.0(%cover)
	NP_671569-putative-virion-core-protein-[Ectromelia-virus]	96.12(%id)	100.0(%cover)
	YP_010085521-hypothetical-protein-KM542_gp073-[Akhmeta-virus]	92.25(%id)	100.0(%cover)
MPXV-UK_P2-058	Q1L	058-Hypothetical-protein-MPXVgp060	Membrane protein (Cop-O1L); Q1L; similar to Vaccinia virus strain Copenhagen O1L 
	NP_536487-Hypothetical-protein-MPXVgp060-[Monkeypox-virus-Zaire-96-I-16]	99.70(%id)	100.0(%cover)
	NP_619865-CPXV078-[Cowpox-virus]	96.85(%id)	100.0(%cover)
	YP_232950-hypothetical-protein-VACWR068-[Vaccinia-virus]	97.00(%id)	100.0(%cover)
	NP_671570-Hypothetical-protein-ECTVgp052-[Ectromelia-virus]	95.35(%id)	100.0(%cover)
	NP_042097-hypothetical-protein-VARVgp053-[Variola-virus]	92.79(%id)	100.0(%cover)
	YP_010085737-putative-O1L-protein-[Orthopoxvirus-Abatino]	95.80(%id)	100.0(%cover)
MPXV-UK_P2-059	Q2L	059-glutaredoxin	Glutaredoxin 1 (Cop-O2L); Q2L; similar to Vaccinia virus strain Copenhagen O2L; virion-associated glutaredoxin 
	NP_536488-glutaredoxin-[Monkeypox-virus-Zaire-96-I-16]	100.00(%id)	100.0(%cover)
	NP_570457-glutaredoxin-[Camelpox-virus]	98.15(%id)	100.0(%cover)
	YP_232951-nonessential-glutaredoxin-[Vaccinia-virus]	98.15(%id)	100.0(%cover)
	NP_619866-CPXV079-protein-[Cowpox-virus]	98.15(%id)	100.0(%cover)
	YP_010085524-glutaredoxin-1-[Akhmeta-virus]	98.15(%id)	100.0(%cover)
	YP_010085738-putative-O2L-protein-[Orthopoxvirus-Abatino]	98.15(%id)	100.0(%cover)
	YP_717379-glutaredoxin-[Taterapox-virus]	98.15(%id)	100.0(%cover)
	NP_671571-glutaredoxin-[Ectromelia-virus]	97.22(%id)	100.0(%cover)
	NP_042098-glutaredoxin-[Variola-virus]	96.30(%id)	100.0(%cover)
	YP_009281815-glutaredoxin-1-[Volepox-virus]	93.46(%id)	99.1(%cover)
	YP_009282761-glutaredoxin-1-[Skunkpox-virus]	92.52(%id)	99.1(%cover)
MPXV-UK_P2-060	I1L	060-putative-DNA-binding-virion-core-protein	DNA-binding core protein (Cop-I1L); I1L; similar to Vaccinia virus strain Copenhagen I1L; virosomal protein essential for virus multiplication 
	NP_536489-putative-DNA-binding-virion-core-protein-[Monkeypox-virus-Zaire-96-I-16]	100.00(%id)	100.0(%cover)
	YP_232952-DNA-binding-core-protein-[Vaccinia-virus]	99.36(%id)	100.0(%cover)
	NP_619867-CPXV080-protein-[Cowpox-virus]	99.36(%id)	100.0(%cover)
	YP_717380-putative-DNA-binding-virion-core-protein-[Taterapox-virus]	99.36(%id)	100.0(%cover)
	NP_570458-putative-DNA-binding-virion-core-protein-[Camelpox-virus]	99.04(%id)	100.0(%cover)
	YP_010085739-putative-I1L-protein-[Orthopoxvirus-Abatino]	99.04(%id)	100.0(%cover)
	YP_010085525-hypothetical-protein-KM542_gp077-[Akhmeta-virus]	98.72(%id)	100.0(%cover)
	NP_671572-putative-DNA-binding-virion-core-protein-[Ectromelia-virus]	97.76(%id)	100.0(%cover)
	YP_009282763-DNA-binding-core-protein-[Skunkpox-virus]	96.47(%id)	100.0(%cover)
	NP_042099-putative-DNA-binding-virion-core-protein-[Variola-virus]	96.79(%id)	100.0(%cover)
	YP_009281817-DNA-binding-core-protein-[Volepox-virus]	96.15(%id)	100.0(%cover)
	YP_009143378-DNA-binding-core-protein-[Raccoonpox-virus]	94.55(%id)	100.0(%cover)
MPXV-UK_P2-061	I2L	061-IMV-membrane-protein	IMV membrane protein (Cop-I2L); I2L; similar to Vaccinia virus strain Copenhagen I2L 
	NP_536490-IMV-membrane-protein-[Monkeypox-virus-Zaire-96-I-16]	100.00(%id)	100.0(%cover)
	YP_232953-hypothetical-protein-VACWR071-[Vaccinia-virus]	98.63(%id)	100.0(%cover)
	NP_042100-IMV-membrane-protein-[Variola-virus]	98.63(%id)	100.0(%cover)
	YP_717381-IMV-membrane-protein-[Taterapox-virus]	98.63(%id)	100.0(%cover)
	YP_010085740-putative-I2L-protein-[Orthopoxvirus-Abatino]	98.63(%id)	100.0(%cover)
	NP_671573-IMV-membrane-protein-[Ectromelia-virus]	98.63(%id)	100.0(%cover)
	NP_619868-CPXV081-protein-[Cowpox-virus]	97.26(%id)	100.0(%cover)
	NP_570459-IMV-membrane-protein-[Camelpox-virus]	97.22(%id)	98.6(%cover)
MPXV-UK_P2-062	I3L	062-DNA-binding-phosphoprotein	ssDNA-binding phosphoprotein (Cop-I3L); I3L; similar to Vaccinia virus strain Copenhagen I3L; virosomal ssDNA-binding phosphoprotein; interacts with R2 subunit of ribonucleotide reductase 
	NP_536491-DNA-binding-phosphoprotein-[Monkeypox-virus-Zaire-96-I-16]	99.63(%id)	100.0(%cover)
	YP_232954-ssDNA-binding-phosphoprotein-[Vaccinia-virus]	98.51(%id)	100.0(%cover)
	YP_717382-DNA-binding-phosphoprotein-[Taterapox-virus]	97.40(%id)	100.0(%cover)
	NP_042101-DNA-binding-phosphoprotein-[Variola-virus]	97.77(%id)	100.0(%cover)
	YP_010085741-putative-I3L-protein-[Orthopoxvirus-Abatino]	96.28(%id)	100.0(%cover)
	NP_570460-DNA-binding-phosphoprotein-[Camelpox-virus]	96.31(%id)	100.0(%cover)
	NP_671574-DNA-binding-phosphoprotein-[Ectromelia-virus]	95.91(%id)	100.0(%cover)
	YP_010085527-DNA-binding-phosphoprotein-[Akhmeta-virus]	95.54(%id)	100.0(%cover)
	NP_619869-CPXV082-protein-[Cowpox-virus]	96.28(%id)	100.0(%cover)
MPXV-UK_P2-063	I4L	063-ribonucleotide-reductase-large-subunit	Ribonucleotide reductase large subunit (Cop-I4L); I4L; similar to Vaccinia virus strain Copenhagen I4L; ribonucleotide reductase, large subunit, R1 
	YP_232955-ribonucleotide-reductase-large-subunit-[Vaccinia-virus]	99.09(%id)	100.0(%cover)
	NP_536492-I4L-[Monkeypox-virus-Zaire-96-I-16]	99.09(%id)	100.0(%cover)
	YP_717383-ribonucleotide-reductase-large-subunit-[Taterapox-virus]	98.44(%id)	100.0(%cover)
	NP_042102-hypothetical-protein-VARVgp058-[Variola-virus]	98.05(%id)	100.0(%cover)
	NP_570461-CMLV071-[Camelpox-virus]	98.18(%id)	100.0(%cover)
	NP_619870-CPXV083-protein-[Cowpox-virus]	97.54(%id)	100.0(%cover)
	YP_010085742-putative-I4L-protein-[Orthopoxvirus-Abatino]	96.76(%id)	100.0(%cover)
	YP_010085528-ribonucleotide-reductase-large-subunit-[Akhmeta-virus]	96.76(%id)	100.0(%cover)
	NP_671575-EVM057-[Ectromelia-virus]	96.11(%id)	100.0(%cover)
	YP_009282766-ribonucleotide-reductase-large-subunit-[Skunkpox-virus]	91.96(%id)	100.0(%cover)
	YP_009281820-ribonucleotide-reductase-large-subunit-[Volepox-virus]	91.70(%id)	100.0(%cover)
	YP_009143381-Ribonucleotide-reductase-large-subunit-protein-[Raccoonpox-virus]	91.83(%id)	100.0(%cover)
MPXV-UK_P2-064	I5L	064-IMV-protein-VP13	IMV protein VP13 (Cop-I5L); I5L; similar to Vaccinia virus strain Copenhagen I5L; IMV surface membrane protein 
	NP_536493-Hypothetical-protein-MPXVgp066-[Monkeypox-virus-Zaire-96-I-16]	100.00(%id)	100.0(%cover)
	NP_570462-Hypothetical-protein-CamMLVgp072-[Camelpox-virus]	94.94(%id)	100.0(%cover)
	NP_671576-Hypothetical-protein-ECTVgp058-[Ectromelia-virus]	94.94(%id)	100.0(%cover)
	NP_042103-hypothetical-protein-VARVgp059-[Variola-virus]	93.67(%id)	100.0(%cover)
	YP_717384-Hypothetical-protein-TATV_DAH68_077-[Taterapox-virus]	93.67(%id)	100.0(%cover)
	YP_232956-IMV-protein-VP13-[Vaccinia-virus]	93.67(%id)	100.0(%cover)
	NP_619871-CPXV084-protein-[Cowpox-virus]	93.67(%id)	100.0(%cover)
	YP_010085529-IMV-protein-[Akhmeta-virus]	93.67(%id)	100.0(%cover)
	YP_010085743-putative-I5L-protein-[Orthopoxvirus-Abatino]	93.67(%id)	100.0(%cover)
	YP_009143382-IMV-protein-VP13-[Raccoonpox-virus]	93.67(%id)	100.0(%cover)
	YP_009282767-imv-protein-vp13-[Skunkpox-virus]	93.67(%id)	100.0(%cover)
	YP_009281821-imv-protein-vp13-[Volepox-virus]	92.41(%id)	100.0(%cover)
MPXV-UK_P2-065	I6L	065-Telomere-binding-protein	Telomere-binding protein (Cop-I6L); I6L; similar to Vaccinia virus strain Copenhagen I6L 
	NP_536494-hypothetical-protein-MPXVgp067-[Monkeypox-virus-Zaire-96-I-16]	99.74(%id)	100.0(%cover)
	NP_619872-CPXV085-protein-[Cowpox-virus]	98.43(%id)	100.0(%cover)
	YP_232957-hypothetical-protein-VACWR075-[Vaccinia-virus]	98.43(%id)	100.0(%cover)
	NP_042104-hypothetical-protein-VARVgp060-[Variola-virus]	97.91(%id)	100.0(%cover)
	YP_717385-hypothetical-protein-TATV_DAH68_078-[Taterapox-virus]	97.91(%id)	100.0(%cover)
	YP_010085744-putative-I6L-protein-[Orthopoxvirus-Abatino]	97.91(%id)	100.0(%cover)
	NP_671577-hypothetical-protein-ECTVgp059-[Ectromelia-virus]	97.91(%id)	100.0(%cover)
	NP_570463-hypothetical-protein-CamMLVgp073-[Camelpox-virus]	97.38(%id)	100.0(%cover)
	YP_010085530-Telomere-binding-protein-[Akhmeta-virus]	96.86(%id)	100.0(%cover)
	YP_009143383-Telomere-Binding-protein-[Raccoonpox-virus]	91.64(%id)	100.0(%cover)
	YP_009282768-telomere-binding-protein-[Skunkpox-virus]	90.08(%id)	100.0(%cover)
MPXV-UK_P2-066	I7L	066-viral-core-cysteine-proteinase	Virion core cysteine protease (Cop-I7L); I7L; similar to Vaccinia virus strain Copenhagen I7L; virion core protein; similar to DNA topoisomerase II 
